,query,query_id,result,exec_time,mode
0,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car WHERE curr_condition >= 5) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings <=3
",0,4444.0,11.360836029052734,normal
1,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car WHERE curr_condition >= 5) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings <=3
",0,4443.6,20.78831195831299,bounded
2,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car WHERE curr_condition >= 5) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings <=3
",0,4443.5,20.757079124450684,fastbounded
3,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car WHERE curr_condition >= 5) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings <=3
",0,4443.6,20.83454132080078,winsorized
4,"SELECT COUNT(card_.card_num) FROM card_ JOIN (SELECT card_num FROM passenger WHERE fname LIKE '%a%') AS n1 ON card_.card_num = n1.card_num AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",1,8085.0,19.17409896850586,normal
5,"SELECT COUNT(card_.card_num) FROM card_ JOIN (SELECT card_num FROM passenger WHERE fname LIKE '%a%') AS n1 ON card_.card_num = n1.card_num AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",1,8085.9,27.763891220092773,bounded
6,"SELECT COUNT(card_.card_num) FROM card_ JOIN (SELECT card_num FROM passenger WHERE fname LIKE '%a%') AS n1 ON card_.card_num = n1.card_num AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",1,8085.1,27.764534950256348,fastbounded
7,"SELECT COUNT(card_.card_num) FROM card_ JOIN (SELECT card_num FROM passenger WHERE fname LIKE '%a%') AS n1 ON card_.card_num = n1.card_num AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",1,8085.0,27.779293060302734,winsorized
8,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT driver_id FROM completeride WHERE price > 50) AS n1 ON driver.driver_id = n1.driver_id AND avg_ratings > 4
",2,8749.0,18.012285232543945,normal
9,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT driver_id FROM completeride WHERE price > 50) AS n1 ON driver.driver_id = n1.driver_id AND avg_ratings > 4
",2,8749.3,26.648640632629395,bounded
10,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT driver_id FROM completeride WHERE price > 50) AS n1 ON driver.driver_id = n1.driver_id AND avg_ratings > 4
",2,8748.1,26.583480834960938,fastbounded
11,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT driver_id FROM completeride WHERE price > 50) AS n1 ON driver.driver_id = n1.driver_id AND avg_ratings > 4
",2,8749.3,26.600170135498047,winsorized
12,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car JOIN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class') AS n2 ON car.model_id = n2.model_id) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings = 5
",3,570.0,17.897701263427734,normal
13,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car JOIN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class') AS n2 ON car.model_id = n2.model_id) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings = 5
",3,569.4,26.700949668884277,bounded
14,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car JOIN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class') AS n2 ON car.model_id = n2.model_id) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings = 5
",3,570.0,26.65262222290039,fastbounded
15,"SELECT COUNT(driver.driver_id) FROM driver JOIN (SELECT lisence_plate FROM car JOIN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class') AS n2 ON car.model_id = n2.model_id) AS n1 ON driver.lisence_plate = n1.lisence_plate AND avg_ratings = 5
",3,570.3,26.698637008666992,winsorized
