,query,result,exec_time,mode
0,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND purchase_date > '2009-12-31' AND purchase_date < '2011-01-01'
",141.0,10.950946807861328,normal
1,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND purchase_date > '2009-12-31' AND purchase_date < '2011-01-01'
",140.7,20.111966133117676,bounded
2,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND purchase_date > '2009-12-31' AND purchase_date < '2011-01-01'
",140.6,19.96903419494629,fastbounded
3,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND purchase_date > '2009-12-31' AND purchase_date < '2011-01-01'
",140.2,19.96612548828125,winsorized
4,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition >= 5)) AND avg_ratings <=3
",4444.0,11.29448413848877,normal
5,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition >= 5)) AND avg_ratings <=3
",4444.1,19.732308387756348,bounded
6,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition >= 5)) AND avg_ratings <=3
",4444.1,19.705724716186523,fastbounded
7,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE curr_condition >= 5)) AND avg_ratings <=3
",4444.9,19.728779792785645,winsorized
8,"SELECT COUNT(card_num) FROM card_ WHERE (card_num IN (SELECT card_num FROM passenger WHERE fname LIKE '%a%')) AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",8085.0,21.196961402893066,normal
9,"SELECT COUNT(card_num) FROM card_ WHERE (card_num IN (SELECT card_num FROM passenger WHERE fname LIKE '%a%')) AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",8084.9,29.659175872802734,bounded
10,"SELECT COUNT(card_num) FROM card_ WHERE (card_num IN (SELECT card_num FROM passenger WHERE fname LIKE '%a%')) AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",8085.4,29.65216636657715,fastbounded
11,"SELECT COUNT(card_num) FROM card_ WHERE (card_num IN (SELECT card_num FROM passenger WHERE fname LIKE '%a%')) AND exp_date > '2020-01-01' AND exp_date < '2021-01-01'
",8084.6,29.550695419311523,winsorized
12,"SELECT COUNT(driver_id) FROM DRIVER WHERE (driver_id IN (SELECT driver_id FROM completeride WHERE price > 50)) AND avg_ratings > 4
",6591.0,18.288588523864746,normal
13,"SELECT COUNT(driver_id) FROM DRIVER WHERE (driver_id IN (SELECT driver_id FROM completeride WHERE price > 50)) AND avg_ratings > 4
",6591.1,26.973819732666016,bounded
14,"SELECT COUNT(driver_id) FROM DRIVER WHERE (driver_id IN (SELECT driver_id FROM completeride WHERE price > 50)) AND avg_ratings > 4
",6591.1,27.00672149658203,fastbounded
15,"SELECT COUNT(driver_id) FROM DRIVER WHERE (driver_id IN (SELECT driver_id FROM completeride WHERE price > 50)) AND avg_ratings > 4
",6590.5,26.889586448669434,winsorized
16,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND curr_condition > 5
",0.0,4.0145158767700195,normal
17,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND curr_condition > 5
",,12.447214126586914,bounded
18,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND curr_condition > 5
",,12.35342025756836,fastbounded
19,"SELECT COUNT(model_id) FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Maruti Suzuki Swift')) AND curr_condition > 5
",,12.51211166381836,winsorized
20,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))) AND avg_ratings = 5
",570.0,17.876029014587402,normal
21,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))) AND avg_ratings = 5
",569.1,26.669621467590332,bounded
22,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))) AND avg_ratings = 5
",569.7,26.57308578491211,fastbounded
23,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name = 'Mercedes E-class')))) AND avg_ratings = 5
",569.7,26.714706420898438,winsorized
24,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_year = 2001)))) AND working_hours <=3
",604.0,17.704153060913086,normal
25,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_year = 2001)))) AND working_hours <=3
",603.5,26.3258695602417,bounded
26,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_year = 2001)))) AND working_hours <=3
",604.1,26.439237594604492,fastbounded
27,"SELECT COUNT(driver_id) FROM driver WHERE(lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_year = 2001)))) AND working_hours <=3
",604.6,26.55811309814453,winsorized
28,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE model_ID = '3INOX77MLSV9766838')))) AND price > 40
",2.0,20.880675315856934,normal
29,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE model_ID = '3INOX77MLSV9766838')))) AND price > 40
",1.8,29.92727756500244,bounded
30,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE model_ID = '3INOX77MLSV9766838')))) AND price > 40
",2.1,29.67207431793213,fastbounded
31,"SELECT COUNT(driver_id) FROM completeride WHERE (driver_id IN (SELECT driver_id FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE model_ID = '3INOX77MLSV9766838')))) AND price > 40
",2.5,29.662132263183594,winsorized
32,"SELECT COUNT(driver_id) FROM driver WHERE (lisence_plate IN (SELECT lisence_plate FROM car WHERE(model_id IN (SELECT model_id FROM size_x WHERE model_name LIKE '%Toyota%')))) AND working_hours > 8
",4425.0,24.642515182495117,normal
